rid,word_evid
0,things say place open early first work day starts drinks huge windows look outside ambience soothing distracting incredibly complain around oh food drinks order stand line quick 
1,place lot friends green eggs wasnt yet little know great efficient even sure eat happily us ended stay happy meals poached vegetarian chili loved fresh side salad substitute charge large portion side friend side nice ambiance great even smaller place didnt try rush table appreciated 
3,odd fellows memorable name yolo live tasteless name toast someone owns east high qualityingredients superb cooking center city uncomplicated flare sandwiches pastries list sides match classic egg cheese voila done fussiness city gets hate pronounce items word phrase suffice fussiness breakfast fare method still slightly night stomach cheese meat mode midday meals win center 
4,star review sad thing walk yuenglings watch baseball hockey football lot projection devils watch people actually jets want bar act sustenance hang crowd bayonne department go food pizza pizza better love apartment 
5,really understand street cool burritos tried chips guacamole charged thick crunchy blob guacamole sour salsa horrible wow seemed maybe try cart since folks raving think head back street 
6,talking taiwanese home meals went work couple weeks member restaurant clean represented fine casual chinese takeout price reflect ordered although section mis categorized szichuan style check waitress menu pricey food delicious thought english encourage familiar taiwanese chinese first spot one handling tables time help manager lady reception every took bill definitely recommend anyone authentic cuisine come back 
8,tripe three kinds dishes specials pros chinese food spicy rice good definitely fried rice area sucks cons intestine think got one brown kind much consistency update try 
9,best north hands dining room staff great food downright pan asian favorites szechuan green tuna spring rolls ask chinese menu order found best ever boil great supposed dim sunday awesome one night doctor henry cool 
10,great place found great find everything came lol sangria flavor nice tried yummmm dips croquetas coconut crepe seafood amazing perfect little filled eating drinking great great date lol table next us great crazy new ordered alot food everything sooo prices reasonable flaminco nites servers nice attentitive definitely come back friends go 
11,place great went dinner ended grilled shrimp sauce virgin olive fried cheese tail hot far pitcher pomegranate sangria absolutely delicious make reserve table bit tight weekends crowd 
12,came absolutely chose wanted make everyone something liking waiter nice recommendations preferences also making reservation put small next window moved spacious next dinner good gave us bread good go bacalao grilled shrimp try skeptical stew best try also sangria price time waiting good couples groups highly place 
13,months old friend cute place going gambas ajillo pretty much garlic gonna meal remember tail hour ended pretty never really sangria neighborhood recommend folks looking area small group 
