cid,queries
0,103 121 314 333 338 351 353 376 411 440 463 483 489 508 560 578 583 590 611 641 675 685 702 729 758 761 785 817 823 835 855 1462 1487 1882 2209 2255 2342 2876 3159 3223 3549 3563 
1,26 31 36 84 206 336 358 395 405 415 461 465 474 480 490 587 592 620 668 692 760 784 812 889 932 1212 1700 1813 2221 2345 2682 3068 3269 3526 3610 3661 3681 
2,1 14 15 18 33 193 323 357 388 401 464 466 558 580 603 606 607 674 701 742 776 779 832 897 1886 2279 2442 2737 3238 3360 3545 3613 
3,65 68 74 80 120 173 181 234 262 324 359 362 382 397 398 512 516 543 565 616 651 657 705 736 775 1213 1538 1793 1960 2296 2384 2388 2822 3005 3094 3171 3239 3293 3640 3795 
4,34 64 70 99 110 265 274 290 298 309 341 392 396 660 698 795 2292 2385 2447 2708 3139 3370 3678 3749 
5,57 91 123 130 226 242 255 261 263 344 348 375 390 497 509 521 588 624 645 646 661 681 689 694 710 715 726 766 773 1122 1139 1231 1485 1772 2368 2544 2570 2752 2901 3216 3331 3434 3585 3694 3850 
6,46 59 78 85 183 220 248 259 300 315 343 448 455 534 581 582 584 585 595 598 605 609 642 655 676 679 703 731 772 793 1338 1491 1576 1641 1709 2219 2282 3194 3235 3249 3374 3402 3764 3855 
7,22 28 77 111 137 138 228 321 325 331 342 347 384 438 473 591 623 633 639 643 652 671 709 778 1181 1292 2127 2138 2231 2291 2599 2755 3100 3349 3603 3633 
8,3 4 25 29 51 71 76 82 109 122 190 203 219 249 296 322 355 374 402 403 424 437 445 454 527 539 551 599 629 640 662 691 708 719 727 752 786 814 819 919 1174 1237 1281 1445 1888 2059 2486 2589 2720 2812 3157 3243 3291 3303 3399 
9,5 11 55 61 86 87 96 124 160 172 282 301 328 361 430 475 519 612 615 621 630 704 713 714 716 732 759 762 777 796 797 1207 1464 2054 2116 2372 2711 2904 3067 3204 3227 
10,8 20 32 44 117 161 168 189 247 253 303 385 393 406 435 436 514 530 531 566 569 670 747 826 829 831 883 934 958 1047 1206 1236 1429 1612 2383 2438 2626 2663 2730 2847 2886 3011 3093 3217 3523 
11,0 10 12 134 186 195 250 306 327 354 594 638 658 721 744 764 789 864 1316 1442 1747 1749 2392 2700 3184 3441 3590 3727 3788 3880 
12,69 113 128 256 308 310 326 335 457 495 576 604 627 634 673 790 821 830 1229 1233 1732 2229 2658 2859 3148 3214 3253 3308 
13,30 101 102 127 165 177 185 202 245 276 307 367 368 372 409 468 500 517 528 533 577 589 680 695 696 707 717 770 781 783 816 870 1111 1171 1226 1361 1488 1541 2435 2464 2465 2684 2865 2887 2994 3041 3320 3340 3356 3439 3456 3586 
14,48 54 126 170 176 180 204 221 233 235 330 391 425 426 431 446 452 467 482 522 559 613 663 666 688 700 734 751 805 878 1228 1420 1677 2248 2251 2482 3099 
15,13 16 27 47 105 108 145 198 231 241 251 258 266 270 271 281 284 288 302 329 363 381 383 412 418 429 439 447 477 554 571 572 608 618 619 637 649 672 706 838 859 928 1172 1466 1467 1657 2095 2205 2206 2387 2390 2443 2483 3017 3296 
16,40 83 116 131 133 147 148 158 178 194 223 229 230 243 293 345 350 366 371 394 407 434 484 502 513 553 622 656 725 739 763 768 791 794 801 804 809 815 2211 2265 2365 2378 2426 2691 3091 3384 3601 3861 
17,23 37 73 81 125 144 238 312 334 404 441 481 542 552 586 596 601 614 631 647 650 667 683 699 711 745 749 811 1176 1318 1661 2103 2275 2299 2353 2534 2560 2741 2742 3061 3363 3595 3742 
18,52 62 141 162 215 264 286 294 340 380 408 478 496 635 648 665 724 753 769 808 810 854 931 1232 1593 1599 2185 2333 2563 3246 
19,42 53 60 98 146 166 225 278 287 291 295 316 417 428 432 443 444 472 488 499 507 524 555 593 617 677 678 693 718 798 933 1235 1396 1525 1628 1637 2048 2613 3420 3436 3448 3540 
20,35 50 129 139 154 163 175 187 201 209 216 218 232 237 257 272 313 352 370 423 505 535 546 644 653 738 743 746 822 935 1027 1129 1238 1291 1472 1518 1584 1588 1884 1948 1949 2031 2210 2241 2249 2459 2480 2523 2770 2834 2864 3014 3040 3074 3185 
21,21 104 119 156 208 213 214 222 236 319 320 332 339 379 389 427 459 506 510 538 579 626 669 682 720 728 733 741 774 792 803 1201 1239 1240 1451 1480 1686 1783 1991 2007 2243 2337 2541 2751 3051 3057 3170 3294 3312 3347 3705 3715 3777 
22,9 17 24 49 58 63 94 150 152 153 157 275 289 377 453 471 503 515 540 544 625 684 756 765 787 800 806 834 851 865 891 1095 1418 1999 2814 
23,6 38 45 66 115 159 171 196 244 252 280 285 304 305 416 442 451 476 494 520 536 562 567 686 722 820 936 1319 1470 1688 2134 2273 2455 3366 3369 3588 3747 3786 
24,88 199 224 
