Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
343,Positive,first time walked place looking nice menu delicious naive fact establishment needed little disappointed hungry still actually martini outdoor seating quite enjoyable inexpensive maybe added experience ok ,first looking nice menu delicious ,1,0,0
165,Negative,philly anyone likes place behind right wise steak pepper cheese plastic priced soggy bland food real let took new treat disappointed best far unknown broad leave guy rude ways real place else ,philly anyone place behind wise ,1,0,0
172,Positive,big debate last week time took dying dynasty way parking good spot always look around see spots got around ordered cheese wiz onions way sandwich really tasty prides freshness great definitely check ,big last week parking good ,1,0,0
330,Negative,place ok twice first time sandwich go took forever gave benefit place opened today stopping jenifer studio pictures ordered ropa vieja arroz con gandules red yuca hubby ordered beans tostones food sides came times ropa vieja ran tres leche greasy ,place ok twice time sandwich ,0,1,1
54,Positive,sangria place takes reservations birthday fell food party practically ordered almost menu top favorites mejillones croquetas pollo frito lost many sangria service waiter attentive accommodating dining definitely ,sangria reservations birthday practically menu ,1,1,0
110,Negative,always really brought cheesesteak husband got tourist scene ie liberty independence hall one apparently known rude guide live gave guy hard time ask ordered tried order soda quickly next one soda fries line patience give right preferred stuck one softer kind old french little fatty neither good steak got sandwich creamy pretty nearly husband sandwich melted go place tour guide market street blocks liberty bell way recommend ,cheesesteak husband got tourist liberty ,1,0,0
40,Positive,went dinner good list different sangria champagne blueberry pomegranate also extensive tapas menu bigger four people ordered perfect amount food food delicious favorites fried goat cheese garlic six sangria paid something tip expecting plan back ,went dinner good different sangria ,1,0,0
116,Negative,pats say pats sandwich really place attitude poor owners ideology exterior restaurant owner mixed politics made even right seen pointing says america order english seriously foreigners mans counter speaking tongue photos bag news commenter people along outside walls calls french fries government smart enough buy lies gw friends us wait going bad taste pepsi will right zombie critical free thinking food spend elsewhere ,pats say sandwich place attitude ,0,0,0
44,Positive,red mango empanadas blood aioli meatballs meat cheese potatos cod croquettes shrimp overall great friendly tapas semi bright contrary dark tapa places sangria one ever tapas extremely order right flamingo drums date energetic dinner thing service friendliest seen feel home always tip ,mango empanadas aioli meatballs croquettes ,0,0,1
363,Negative,much hot thought give underdogs shot unfortunately underdogs performance ahem excited hot dog available menu novel topping combinations caliente comes pico de gallo chocolate cayenne mole jalapenos cream sounds pretty awesome well much thing noticed dog barely warm dog double second bun basically sized pack wonderbread buns sound snob totally bottom line hot dog fancy cool sounding toppings frank ly know distracted deficiencies even chocolate really sad note french deal decent worse hot dogs ,much hot give shot unfortunately ,1,0,1
193,Positive,came weeks time pretty food anything bad small restaurant wait bit order mad food suggest chicken curry really nice although def think level hottest good family outings ,weeks anything small restaurant bit ,0,1,1
358,Negative,underdogs tonight wanting place since help compare underdogs even close chicago style fries hot lukewarm noticed counter long ready cold sitting begin part thought way dense might personal enjoy fries hot cashier gave change running help annoyed honestly paid bill ,wanting place since even hot ,1,0,1
39,Positive,best kept favorite tapas bar serving deliciousness hangar steak tender well small portion nicely sized solid croquette suffice order escargot really expect escargot spain snails size sauce happy hour prefer love place ,best kept favorite tapas bar ,0,1,1
718,Negative,came excited positive food absolutely add list work bahn shrimp bean sprouts crepe soggy came container also sisig reviews called sizzling meat instead salty flavor taste buds afterwards honestly take everything leftover kitchen sauce dish garlic literally garlic fried fat side sausage hungry nothing compare china street food available desire forcing walk saved giving restaurant wonderful outdoor atmosphere go lower ,came excited positive food add ,0,0,1
242,Positive,food however partner thought strip came table offered concern manager also definitely complaint reservation wait sit overbooked clientele dining room almost feeling present always observed bras guys hats belts boxers lots gold shirts scary fabulous ,partner thought also definitely complaint ,1,1,0
137,Negative,excited finally time try steaks one two heard many times great many go blah blah fail dry onions raw annoying onion got brushed teeth ur tasted better nyc fooled hype lights made way order make better soft steak chopped onions peppers cheese regular less ladies ,excited finally time steaks many ,1,1,0
9,Positive,place aside sushi etc taiwanese chinese granted will find wife craving food home country made trek check totally waitstaff let wife everything recommended waitress soup rainbow fish bamboo shoots stem authentic going ct ,aside etc taiwanese chinese find ,1,1,1
95,Negative,student city brotherly love friends whether better even contest really say make obvious minorities plastered press english press mad century notice cheese steak first time back late trash went never neon walls cheese steak across ,brotherly friends better even say ,0,1,0
91,Positive,across street actually people bound try least well steak pats must preferred ordered onions bread gloss top texture steak slices beef flavor also provolone sammich also thing one ,try well must bread top ,1,1,0
122,Negative,visiting town traditional cheesesteak bit noon parking bad expected parking managed line time got leaving around line already pretty least service seemed smirking got food seconds impressive racist around place pretty really reading really hesitant ever go back example english really line cross incredibly ignorance ordered cheese fries coke american system bit confusing different cheesesteak one pay window etc gray cut onions well roll looked bread one end grease blot felt digestible american cheese however cheesefries mostly fries cheez bad although sunk bottom top bottom fries stuck together might another friend especially since across reason go overpriced obnoxious ,visiting cheesesteak bad managed time ,0,1,0
13,Positive,best restaurant best authentic chinese state staff knowledgeable helpful chef rolls always tell good neat rolls artful interested ct honestly formosa looking purely chinese might marketed fusion need order food forever addicted restaurant class want suggestions particular happy share many discuss review ,best restaurant authentic chinese helpful ,1,0,1
380,Negative,wanted restaurant one cuban sauces arroz frijoles pollo etc secondly every day quick try unfortunately let lackluster servings mean nothing really special bit price date sangria mojito still sixty dollar check entrees one miami la meal rarely restaurant feel robbed feeling wallet still even signed opinion recommend anyone coming simply skip grocery store grab plantains black beans onion lime breast chicken stewing beef google something equal ten much faith also sdc know whoever well along neighbor ay advantage sole purveyors south cooking area yale yuppies seem ripped bliss really much cash ,wanted cuban day unfortunately let ,0,1,0
36,Positive,tapas people tapas happy pitchers anything else succulent broth cooked typically fan cooked way order ended taking bread something order visit pieces escargot absolutely divine totally garlic pairing bread definitely made worth definitely something order well croquettes level mozzarella sticks even much delicious piece cheese serrano plate goat ham toast helped cut goat cheese fan tapas dish try first chorizo onions chorizo dish better chorizo fried potato carmalized salty spiciness chorizo sweet greasy onion taste paired basket bread definitely dish order next chorizo fried tapas pieces potato oily chorizo pass something make bravas fried potato place ordering probably another patatas dish though starchy also helps fill stomachs garlic sauce one best dishes night gave pieces sauce amount undertones seafood notes elevates bowl paired bread also definitely meh commented ikea awful plate sangria ordered reminded tropical juices spiked wine vaguely touch probably lemon slices orange sangria actually taste definitely wine feeling probably opted since venieros across great us entire night ton sassy jar hot belize pepper little crack today fried chicken smother chicken world fan tapas since fill baskets fill us total ended love come try tapas fyi back eatings ,tapas happy pitchers anything succulent ,1,0,1
82,Negative,take town necessary stop visit city never minded much take downhill declined much point friends let take cheesesteaks meat rubbery chewy dried whiz add desert stale hole people stand line come way philly ,take visit minded much point ,0,1,0
109,Positive,opinion far best reason grab go half see difference wit witout seems might whole chopped steak vs pieces argument line parking go hours games one least inevitably someone cheesesteak tell ,best grab wit witout seems ,0,1,1
144,Negative,good football really saying bread meat bland staff rude order coke pepsi thought asking paint monet toes got lets start changed ordered diet pepsi ordering fries one drink people offensive want want heard money every back place save time street pats ,saying meat bland staff rude ,1,0,1
51,Positive,fantastic tapas place really charming really food must delicious ham blood sausage well executed tapas places charge twice really got right negative sangrias order wine wait ,fantastic tapas really must delicious ,1,0,1
77,Negative,wiz wid wiz guy counter throughout whole process money placed onions without pal due recent details operation doctors think acidity care doctor said us philly without onions kept stop vento let sandwiches back made walked away born guys discriminate people foreigners ones traveling product show customers want cash without dough pay light ,wiz guy counter money placed ,0,1,1
12,Positive,tripe three intestine pros chinese food northhaven ct fried good definitely fried rice chinese area cons intestine dish got brown bland consistency intestines will things ,chinese fried good definitely rice ,1,0,1
112,Negative,thursday night brother visiting wanted hype philly cheesesteaks seen food network somewhere disappointed geno flashy geno cheesesteak composed bread slices steak far disappointing philly top horrible assumed businesses advertisement developed attitude less across photos want geno try instead coming see lights give excitement go instead ,visiting wanted hype philly cheesesteaks ,0,1,0
157,Positive,philly steak onions melted cheese good classic cheese fast music members helped run cancer patio even world series saturday seating including locals seems place many negative coming take apparent zealous patriotism ignore philadelphia institution constitution visit plan competitor got ,melted good classic music helped ,1,0,1
135,Negative,months ago avoiding depressing obligated night poor yeah rocked line made perfect sense going order decided ordering window gruff lady counter translated one minutes another slid open thrust window shut boyfriend waved got one ice exactly standing weather cheesesteak utter garbage cart center another random fast food joint california moving full hours since bites wanted anything food case feel way abandoning last meal earth wanted instead sure friend rolled eyes hailed cab end ,months ago poor yeah made ,1,0,1
8,Positive,better known carts science grown shop state takeout place visit food amusing three dining area keep counters putting solid ground skulls really mole usually sure options burritos tacos ,area keep putting solid ground ,0,1,1
395,Negative,cuban restaurant new haven sadly underexposed cuban food core food slightly misleading soul de place place serves food cuban food cuban food food good without flavor anything presentation things food ingredient cool pleasantly either mush empanadas good tasted empanada tacobell meh place reservations pushing group one smaller next place revisit may cuban food ,cuban new food misleading place ,0,1,0
107,Positive,coming closest cheesesteaks ones cheesesteak wanted first yep tried place provolone tasty thing enjoy bread bit regardless melty cheese bit service quick intimidating thankfully instructions order hold lit ,coming first tried tasty thing ,1,0,1
361,Negative,really wishing matched go short competition sunken dingy distracting chewy bun barely see tiny fighting middle kick pants thin la ds good thick hot meh ,go chewy bun barely see ,0,1,1
216,Positive,many mind review one go always available seat three whenever sunday afternoon saturday beer always always something something try burger wings mac cheese pulled mac cheese special chicken fried jalapeno absolutely everything though wings cooked perfectly combination thought work together perfectly bartenders super friendly attentive food quickly recommend place ,one always available seat sunday ,0,1,1
285,Negative,beginning trust buds fellow yelpers decided go food went moment began pouring noticed immediately believe gag syrup oh tasteless toasts looked pressed iron took first bite last french toasts extremely bacon bacon hard chew eggs burnt dry banana pancakes doughy slices took order came back yea us ask someone else bad experience diners will never come back oh cash deal cheap take ,fellow decided go food began ,1,0,1
275,Positive,lot hype reason coming moved heights ago still server carlos many years says incredibly kind owners consistently awesome lunch items whenever line gus coffee smiles overwhelmed charm though standard fare perfection lets menu meat strawberries instance also gus always freebies overheard tried rickey thing know delivers one free charge also egg another order anything will substantial good listen haters want waited pancakes weekday thing order whatever make way place runs minute type place leave happy ,coming still kind awesome lunch ,1,1,0
125,Negative,kidding years im gonna philly cheesesteak inch onions explosion insane looking thing arrive got sorry miserable looking steak thought gave worst ever tasted life coming people joke brooklyn cheesesteaks mention total brooklyn play role business ass gonna youll sorry embarrassed offer ,years philly cheesesteak inch onions ,1,0,1
437,Positive,brooklyn last eating least month ribs meat falls clean bone perfect fatty juicy mac cheese mac cheese loaded dish kind soooo yummy great beer nice home style touch also hearty chunks enjoyed stand seriously want everything nice half portions wasting food feeling fat burst enough right really even adorable pies delicious sized offer options maybe okra simple side salad kale collards list darn good overall catch music becomes human sit avoid noise far likes music style true southern cue lover anything sound occasional wheeler ,last eating month ribs clean ,0,1,1
846,Negative,penn student university city think restaurant looks charming cozy take parents visitors de rigueur bar serving beers watery laid delay locally sourced casual pictures everywhere safe overvalued stuffed fingerling else usually except every busy cares gets ,penn think take beers laid ,0,1,1
43,Positive,stopped bite pitcher sangria yum special shrimp green sauce octopus galician style steak sauteed churrasco arriero skirt steak probably best medium meat flavored tender garnish came refreshing la gallega might chewy soft smelled maybe day dish octopus tapas sauce sopped whole thing provided ambiance sat outside hot came pour champagne refill us thought dishes bit pricey vegetarian dishes bit cheaper recommend coming advantage ,pitcher sangria yum special green ,0,1,1
350,Negative,dominican radius merengue tried work dry day slow racist service please place make speak spanish last tries go ignore tell people served walk play race pretty first totally bypassed light puerto believe food honestly crap know weekends real best better short set expectations smh ,work dry day slow racist ,1,0,1
52,Positive,means spanish early village yelpers decision led excellent let tapas plates urgently favorite clams cod thrilling crazy plate delicious sangria big vat fruit every mix ladle full fruit choice white first waiter said pitcher white yummy yummy want red bloody ,means spanish early village yelpers ,0,1,0
474,Negative,unbelievable experience mid continental around sunday empty without wrong experience started ok seemingly waitress drinks french fries ordered child meals repeated back us come around us half meal gets ridiculous minutes meal ask anyone floor servers bussers bar eating corner server ask proceeds insist us repeated order back common sense tell plates also listen hear customers claiming hear order makes job proceeds completely hand us attitude discounting putting now seem options rolling giving attitude leave way without saying something manager says storms even brought syrup well genius ordered states come syrup corrected manager eavesdropping stomping back rolling eyes pop finger severely annoyed behavior trying situation stand stomping feet one mouth shut frankly absolute limit asked remove us proceeds call psycho makes comment child managers remove us completely allowing drawing child something higher service yelling personal insults gave horrible service hours shocked appalled eat places star life horrific restaurant used frequent starr restaurants end unprofessional allowed two apologies point situation rectified obviously touched offered issue never go back treated really conflicted posting tell wanted make blaming us probably customers still minimum lack service hope review steers people treat garbage deserve ,unbelievable around empty without wrong ,1,0,1
48,Positive,say nai tapas group friends staff us top tables dates server recommended many tapas order everything came right ordered different pitchers white meatballs patatas bravas fish apparently good well really mind accidentally tapa touched yet bring us dish house whole told us house well whole meal ended costing around never seen new let alone restaurant recommend nai tapas friends food prices back ,nai tapas top dates recommended ,1,0,0
153,Negative,oh hello neon err mean direction see glare away place obviously famous obviously full option steak grizzle take look grill next time pounds meat pre steak made order boo bread boring big also worse options hot available stand hot though english plus obnoxious really want say best part open overnight really need steak ,oh neon see away place ,0,1,1
297,Positive,banana walnut walnut lemon also cinnamon sugar orange zest butter pancakes craziness cherry lime rickeys waffles smoked turkey big ass tea hot decor fast efficient service door little bites wait line ,banana lemon also cinnamon orange ,0,1,1
0,Positive,toast stars option round food pretty although menu tons options place fills quickly weekday felt french kind plain scrambled place perhaps last highly spritzers yummy hot ,toast although menu tons options ,0,1,1
