Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3,Label4,Label5,Label6,Label7
230,Positive,whimsical fishtown kensington bevy delightful spots nightcap days quickly asserting memphis lost bar barcade one favorite go beer four selection bottle list food night happy menu specials inner beer sixpoint tiger one please delirium tremens chicken bbq maple syrup wings homemade altitude prince day feeling particularly effusive new buddy night one date planned drink nights neighborhood familiar faces server amber totally stellar vibesmith highly accommodating super suggestions speedy delivery drinks coupled propensity smile feel loved care check end night liz offered bowl mac devoured conviction delicious working stumbled friends full stomachs light tow quietly moments one facilitating adding smalltown magic ,delightful bar favorite beer selection ,1,0,1,1,1,1,0
532,Negative,wanted place decor international long fries satay quesadilla also got lobster mac cheese highlight meal rich enough overall expectations high yelp probably wrong thing want another shot interesting meh service inattentive two stars ,wanted place long fries got ,1,0,1,1,1,0,0
236,Positive,thanks busy erin express wait single restroom busy drinks also blue cheese ever bar fries tiny allure stop hope come regardless west apartment crowd also ,thanks restroom drinks also blue ,1,1,1,1,1,0,1
884,Negative,wife dinner end service service seated promptly bunch loud doctors medical mid ordered typically meat cooking braised little much chicken know resembled chicken terrible west philly lamb cooked polenta local make hype fair place great outside dining seemed quaint enough ,wife service seated ordered meat ,1,1,0,1,1,1,1
36,Positive,fresh air aming tapas nai tapas assortment tasty plates back atmosphere spain refined anything simple flavorful great place meet shoot chorizo rojo jamon setas least pitcher sangria ,fresh tapas assortment tasty plates ,0,1,1,0,0,0,0
137,Negative,disappointment even landed blink windows pre cooked sitting disappointment second even chop slices third sandwich even fourth disappointment awful disappointment throughout ride eat cold much rather eat steak sandwich come pretty will never back ,disappointment even pre sitting second ,0,1,1,0,1,0,1
456,Positive,philly mexico years ago search mexican southwestern since las bugambilias quite comparison full chips still warm table pico standard pico great flavor guacamole also nothing exciting use onion tomato opinion good bit worth asking price main great went mole enchiladas sitting belly nearly two years now lady friend got regular task outside sphere banana good banana generally go dessert chocolate mix however wanted try reluctantly overall excellent experience stingy stars place brief consideration make ,ago search mexican bugambilias quite ,1,1,1,1,0,1,0
404,Negative,reopened excited place remember really great closed anyways saw suscipicious got home looked sauce cheap sausage looks pieces dean mention say overpriced two smalls two will definetly return ,excited place remember really closed ,0,0,1,1,0,1,0
259,Positive,adela dirty bird rotisserie portion rice black beans puerto rican mom make puerto rican mom owned rotisserie oven crispy amazingly seasoned alphabet city worth homey filling stomach soul new needs good tap water knows place newb ,bird portion rice puerto rican ,1,1,1,1,1,1,0
1258,Negative,bitch hard vegetarian honestly find options every one good content even option north third entree days specials ended lamest vegetarian french salad now beet salads dated everyone add beet goat menus jersey tomato really bright balsamic also pulled dog maybe sitting ,hard vegetarian one even north ,1,1,1,1,0,1,0
239,Positive,close proximity apartment often drinks weekends however wednesday coming week one informed phenomenon probably taken pop quizzo let dreamed neighborly walked night greeted street neighbor nice surprise happened two quizzo meet nicer bunch locals bar back time ever upon entering asked hug experience yet try star attentive bar staff reasonable drink fun crowd prime location leaves far dive bars go place ,close drinks weekends wednesday coming ,1,1,0,1,0,1,1
1727,Negative,made mistake breakfast grits pretty good fried tomatoes okay bacon realized must sugary flavored bacon touched perfectly medium spanish enjoyable tasty favorite meal really try come knocked rating star ,made mistake breakfast pretty tomatoes ,1,1,1,1,1,1,1
63,Positive,everything recommend dishes sorry service service issue restaurants sure water filled checking charismatic personality throughly food awful left happy combo amazing tapas pitcher service made fan ,everything recommend dishes filled happy ,1,1,1,1,0,0,1
534,Negative,went lunch today birthday atmosphere surprising pretty much exactly expect starr kinda exciting overload typical well upscale elevator music mac service nothing boss disappointing sandwich potential avocado dried tomato said dried tomato one sandwich dry juicy ripe chose fruit meal pretty tiny fresh tasting least menu priced pretty reasonably center city even ,went today birthday surprising pretty ,1,0,1,0,0,0,1
273,Positive,went week week yes know great dining berries bubbies amazing little high powered fruity little overpriced hey us corner dining room group introduced proceeded wine surprised cooked way juicy tender potatoes nicely carrot pineapple sauce care sauce cake flavorful pleasant dining experience revisit week missed ,yes great dining amazing little ,1,1,1,1,0,0,1
100,Negative,overly impressed sandwiches expect gruff paced unfriendly explaining things care many kind provolone pay sandwich order fries two two waters realize quality meat steak ums overpriced cheesesteaks native bar fun reviews gone noticed signs ,impressed sandwiches expect unfriendly care ,1,1,1,1,0,0,0
246,Positive,evening luckily closing min called quickly take people neither nice rude go much closing tired practically devoured extra pork sauce extra flavor also everyone keeps commenting place may even sit dinner mofongo beans need separately ,evening nice practically devoured pork ,1,1,1,0,1,1,1
196,Negative,haha taste steaks hot sause looks vomit tastes seems views french actually freedom fries people languages lights food update one walked one friends order spanish order french dude fuck walked us acting wanted fight work though sure away vigorous racists pats bigots cook ,steaks hot looks tastes seems ,1,0,1,0,1,1,0
34,Positive,came friends around let say locate literally block aimlessly good unueo prounounced uno card game notch funny jokes service paid extra birthday big extra slice cake dinner guy nothing props onto food wed options choose wise champagne sangria well flavored mango side sweet strong two pitchers tapas two tapas regular tapas lot originally somehow finish favorites churrasco skirt steak side version chimichurri ask mussels sauce amazing away mussels thing free soaked sauce haha shrimp garlic sauce loved friend saying believe dipped bread really tender juicy much heard show best planning talk ,friends around block good uno ,1,1,1,1,1,1,1
158,Negative,native instead steaks fatty lot soggy fan fries cardboard likely container something tradition god much sip buy scream make fools ever yelled hold know done also every prices end know tourist trap steak run much spent wait ever eat now even give ,native instead steaks fatty lot ,0,1,0,1,0,0,0
20,Positive,occasion loved wanted make everyone something waiter us also making put us table area next bar point dinner felt tv us bread go bacalao favorite grilled shrimp garlic sauce try caracoles skeptical tried sangria hh time line outside place ,occasion loved make also making ,1,1,0,1,0,0,1
146,Negative,way lighting something ended spending semi stale raw breath enough wiz steak onions caramelized cheese cut steak melted enough onions now cheese good enough tho bottom line come late steaks place real truck campus come ,way lighting something ended raw ,1,1,1,1,1,1,1
123,Positive,say opinion far best steaks friend half will taste difference wit camp might whole steak parking bad go prime places go town go good cheesesteak ,far best taste parking prime ,1,0,1,1,1,1,0
330,Negative,update review sits yelp link yelp bâ vanderbilt st marks prospect place owned super friendly mention nuggets love nugs outside installed music now know walk usual blocks away taste disapointed ,review sits yelp link place ,1,0,1,1,1,1,0
244,Positive,puerto food times various never saw old woman owner pestle friendly makes suggestions takes little sure putting great restaurant hard describe puerto rican feel seating sure accommodate advance sit con leche coffe milk make well ,puerto various friendly makes suggestions ,1,0,1,1,1,1,0
255,Negative,customer service eye busy right counter said excuse hoping scowled away hate race hard infer asians stood mins acknowleged non got serviced needless say place obviously made feel unwelcomed sont food network recommended place ,customer service busy right counter ,0,1,0,1,0,0,1
167,Positive,steak awesome bread onions good philly cheese steak gets service fast friendly played owner helped fundraiser cancer even world seating easy warning including locals love many negative reviews appear coming people exception apparent zealous patriotism ignore much philadelphia hall visit plan competitor also doubt ,awesome good cheese gets fast ,1,0,1,1,1,1,0
155,Negative,know overrated craving decided grab prefer light polluting wit please cheesesteak came special bread dull side meat places street fries well liked bit old attempt still ,know overrated craving decided prefer ,0,1,0,1,0,0,0
268,Positive,excellent strip overcooked chef came concern also bill customer service reservation minutes sit bothered mix clientele dining almost gave gang members wonder holidays observed bras guys pants without belts lots shirts scary note bathrooms clean fabulous ,excellent strip chef also reservation ,1,0,1,0,1,1,1
2620,Negative,impressed ordered margherita knots knots pizza fell flat hate use word bland adding sauce go long staff courteous sit minutes manager noticed date ask busy one take care working efficient cleaning agent tables smells awful across restaurant return ,impressed ordered pizza flat hate ,0,1,0,1,0,0,0
181,Positive,two vs cheesesteak battle must notice steak behind window friendly conversation granted line time talk assuming spoke bag ordered sandwiches whiz going ahhh now tasty chew right hard cheese right money philly fabian checker made feel genuine needed yell ,vs must friendly granted line ,0,1,0,1,0,1,1
112,Negative,challenge vs part cheese recommend provolone less creamy cheez whiz one cheez thinner meat less meat thicker flavor onions bread steamed little tough chewy steaming italian bread service friendly seemed care website offers prepared order fast keeps presented tightly easy non aesthetics colors inviting carnival appearance cleaner brighter says invented steak sandwich perfected find yelp pats king ,part provolone creamy whiz one ,0,1,0,0,0,0,0
15,Positive,formosa restaurant go really good szechuan cumin ma fu way really really jjajangmyeon qi fei good crowded definitely favorite mine getting authentic good food place whole ton people going oh btw serve ,restaurant good definitely favorite getting ,1,0,1,0,1,1,1
1297,Negative,second star food place time things us sit outside hostess even going waitress politely informed us outdoor seating minutes ordered hummus plate seemed going fine waitress back empty glass boy finally asked wanted another asked check waitress gracious minimal sorry will business ,second star food place time ,1,1,1,0,1,1,1
658,Positive,perfect oh ways date larger area groups looked decor resplendent hanging terra cotta pots thus pylos horizontally bottles unique intersection place packed pm sunday night needed glad made seated waters placed front us basket bread sauce great waiter navigating extensive something similar noir little depth pointed amazing red remember may see brought flavors meal start two shared warm octupus similar ino opposed small typical balsamic reduction perfect pear spicy cured beef delicious pear softer arugula quite nicely least favorite love try scallops cheese cold aps greek come sensational horiatiki rivaled greece truly matched incredibly fresh wit greek olive oil vinegar eating cake cheese nut feta delicious mains date ribs went meat bone knife necessary run due fact whole fish kitchen alas way bones terribly well one minor setback take away lingered coffee little past midnight sunday officially people restaurant pylos deserves return go ,perfect oh ways date groups ,1,0,1,0,1,1,1
1921,Negative,weekend complaints first one us written chalkboard situated see sitting discovered people us probably ordered crab second tofu contained potatoes probably strangest part meal west louisiana hash hand good everything greasy beignets cafã although hot lukewarm although doubt ,first one us written see ,0,1,0,1,0,0,0
122,Positive,surprised negative lot touristy places cheesesteak local still favorite cheesesteak know order yes signs reviews heavily food quality always wiz cheese cheesesteaks quickly lots meat cheese roll feel huge cheesesteak prepared food coma afterwards also experience go usually cram kids greasy food usually fun also boyfriend done properly guess see rivals delicious cheesesteaks ,surprised still favorite yes always ,1,0,1,0,1,1,1
514,Negative,food rooftop lounge via elevator setup especially pretty open seating usually commanded smokers smoke seating thing doubled dance super music conducive talking overall feel thought kinda tacky bar see guessing lot packed really place go back ,food elevator setup pretty open ,1,0,1,1,1,1,1
57,Positive,red mango beef empanadas garlic sauace meat cheese order cod mussells spot lighting bright tapas tasty flamingo turns date upbeat energetic notable place service staff ever right always ,red mango beef garlic cheese ,1,0,1,0,1,1,1
195,Negative,people even points one clearly throngs excellent mexican otherwise italian city famous window speak shirt displayed across american order english vento grandson immigrants sicily struggles english language landed america geno real people especially learn language ,people even points one clearly ,1,0,1,0,1,1,1
204,Positive,best restaurant little piece service nothing short spices spot date favorite dish green curry bamboo shoots beans peppers chicken strips fresh paired tea city perfect dining experience forewarning portion enough fill definitely large lemongrass restaurant drexel overall recommend far ,best restaurant little short spot ,0,1,0,1,1,1,1
148,Negative,say cheesesteak joint philly said almost every tourist flashy lights joint look appealing really cheesesteak chopped kinds sandwich worth tourist try real authentic cheesesteaks somewhere else pork tony ,say cheesesteak joint philly said ,1,0,1,1,1,1,1
19,Positive,great place found reviews great amazing everything fresh tried lot lol mango good flavor nice shrimp garlic hamon croquetas crepe seafood little drinking great time great maybe strangers talked table great things york ordered alot people everything sooo good reasonable thurs sat nites nice live bklyn will definitely come go ,great found amazing everything fresh ,0,1,1,1,1,1,0
188,Negative,give lets find honestly believe reviewing shithole pats first thing never invented steak genos opened genos always og plus pats burn genos people english sure dont always owners didnt maybe new ass lives everyone live lots mexicans shit ton lousy taco bell hope keep tourist turns least one star ,give lets pats first thing ,0,1,0,0,1,1,1
243,Positive,review words speedy friendly service right now go hot delicious eating something throw state already thank later small shop features hot dogs familiar new ones dog mac reviews chili something must tried much heat sweet honestly plain well hot dog mac also sides throw added pickle chicago hits park flavor cash small table chairs another mentioned friendly proud much translates cooking first via delivery nice lazy whole addition new haven fairfield weenie now drive nostalgic feeling worthy ,words speedy friendly delicious already ,0,1,0,1,1,1,0
412,Negative,soul cuba time dinner come mojito best ever mojito pretty good used mint lot flakes clearly old frozen calamari anything yet companion delicious homemade disappointing soul de dry inedible item good although bit companion fried snapper seared shade leches cake flan incredibly disappointing restaurant essentially money go least stay away ,time come mojito pretty used ,0,0,0,0,0,0,0
159,Positive,first trip fourth friends say ended service maybe big deal four friends wiz favorite bread fresh cheese drippin delicious little taste philly cheat parking unless torrential feet ground walk ,trip friends deal favorite fresh ,0,1,0,1,1,1,0
525,Negative,continental places tried booked night blown away experience make reservation next visit even leave night ratings thought process food really must eat thing tacos list pathetic draft service time decor overall restaurant tacky outdated guess starr diner one say half smells dirty rag bar unpleasant emanating bar top seated smell followed else starrs ,places night away even leave ,0,1,0,0,0,0,0
73,Positive,tasty savory onions steak together something proud clean staff friendly questions respond alot pats folks epiphany places locals expectation level beyond lets cheesesteak sandwich basic together outcome good product lucky embrace find others hope find great place start journey ,tasty savory together proud clean ,1,1,1,1,1,1,1
125,Negative,second boyfriend stop compare expensive cheesesteak better appeared offer less meat toppling meat free ketchup relish hot peppers lucky touristy overpriced suggest trying philadelphia recommendations ,second cheesesteak better offer meat ,1,1,1,1,1,1,1
392,Positive,hot dogs got michigan dog beef onions less good combo fries drink center lunch malt vinegar dipping good try hot punched time fist name wall glory glories may decide give arteries break sure oh saturdays spied sandwich byo yet verify though exciting nonetheless come back ,dogs michigan dog beef less ,1,1,1,1,1,1,1
2783,Negative,came weekday late early dinner sat group sure one privacy lobster seafood enjoyed better olive oil tortellini came tortellinis ravioli nothing pieces creamy alfredo sauce much better pizza sadly seafood fresh made thick alright think maybe overdone okay food better service ,came weekday late early sat ,1,1,1,1,0,0,0
39,Positive,last minute people surprised see nai still notice went made booking food absolutely reservation never gave recommendations encouraged yes even end liking issue delicious wrong croquettes flavorful skirt patatas bravas bit mealy potato opt wow ed particular fantastic experience ambiance friendly certainly recommend anyone larger dinners ,surprised still absolutely reservation recommendations ,1,1,1,1,1,1,1
286,Negative,give place overall terrible saturday morning wanted enjoy breakfast seated long kept moving twenty table one two seated host kept sure seated every five minutes good place owner seems lot restaurant served rushed ordered pancakes pork harder eggs done finally take cards says without instead ave ,give place terrible saturday wanted ,1,1,1,1,1,1,1
114,Positive,shame must one last us world place world even yea go best clean seat almost half meat cleanest steak place world hey veggie philly nice order cheese fried sauce nice ,must world best clean hey ,1,1,1,1,0,0,0
134,Negative,going corner lets straight places region service use final ante subtract star genos make neighborhood one really sure thing became well will notice positive reviews sort mission ,lets places service use star ,1,1,1,1,1,1,1
46,Positive,fun place packed managed service great huge fan tapas barcelona met pretty well really large dishes tapas raciones topped flamenco talented passionate dancers seems great place brought special occasion steps ,packed managed great huge fan ,1,1,1,1,1,1,1
572,Negative,even still starr joint ready finishing outside place entrance sit bar hanging wicker appear made men stature struck loose give visions kitschy sort way astronaut one bacon bloody something predicted surprised see slowly spicy ask make one wow way something might anything sure bathrooms mirrors act one bathrooms now cameras seem whole bathroom concept behind urinals walk sink now follow hospital trained cross thought whips turns uses hands move beaded walk baptized yes bleah now understand tell someone gets paid wipe bead lysol go seen food drinks ,even starr joint ready outside ,1,1,1,1,1,1,1
50,Positive,impressed great tried favorites fried awesome cheese balls wrapped pure incredibly riojana chorizo mixed potato sausage every bite tasty came delicious sauce bread seriously prepare great manager times table going friendly gave dessert sufficiently mango sangria juice must masked tropical good mango tad better also shows love ,great tried favorites fried awesome ,1,1,1,1,1,1,1
175,Negative,ok honest hype sub par aftertaste meat argue line atrociously long everything now bread stale bit stale made generous coating cheez whiz asides attractive front line oh yeah beware beware hotsauce hell ,ok honest hype sub par ,0,0,0,1,1,1,1
396,Positive,hot dogs latest dog new joint even think indelible place culture inedible hard write hot dog much dogs center due together styles add dogs underdogs stopped today line filled foobooz post line gave plenty study menu printed priced area drink journey dog chili cheddar chopped mustard mostly last dog experience grand rapids version somewhat different still think will hit style pickle fix fries solid tasty fry sauces rest enjoyed dogs back force ,dogs dog new center together ,0,1,1,1,1,0,0
2560,Negative,ok ok probably going review right year year trying kept telling although always hungover sunday decided go stand line indulgent breakfast wait table two minutes place small since still chilly jammed entrance saw big food coming willing table mind experience finally fabulous sorry name server pleasant ordered bagel lox granola wanted taste ordered stuff straight pancakes lots butter syrup although south everyone ranked mediocre jersey tried understand hype simply personally make pancakes home line definitely maybe wrong menu items patience another minutes stomach another ok ,ok probably review right year ,1,1,1,1,1,1,1
16,Positive,based one visit know tasted small dim saturday order menu carts upscale tea cast iron first dish great delicateness wrapping quite next things vegetable bean roll delicious noodle wonderful henry lee wait go back sample menu ,based visit small menu upscale ,0,1,1,0,1,1,1
1456,Negative,one hand enjoy diner food pretty solid lox sandwiches last night instead nazi met toast waitress explained strict adjust toaster oven served burned missing something sense went back provide slice decent toast dare ask missing also omelet incorrect sent came getting message management practices starting customer first tell waitress want trouble place two times try ,one hand enjoy diner food ,1,1,1,1,0,0,0
403,Positive,really love place food healthy tex lettuce lowfat cheese guacamole ask chicken comes side ranch little already flavor btw cheese another favorites spinach guilt take made bread fat ask grilled chicken comes put little salsa quesadilla portion pie leftovers lunch dinner genius first third staten ,love lettuce cheese guacamole chicken ,1,1,1,1,1,1,1
189,Negative,better food standpoint point gets even bleaker neon signs absurd ugly ruinous really owner racist arrogant prick loves attention antics biggest turnoff outside store seriously food mumia much place ,better food point even neon ,0,0,0,1,1,1,1
194,Positive,right street privately immigrants besides stuff milk little shop version breakfast item known dough wrapped pancake bing tiao known specialty people door ten buy decided got around placed end long now minutes later arrived front proceeded order shop manning griddle wrapped nin ummm fried dough wrapped um simply skipped proceeded order eager line right cash hand end visibly embarrassed determined upon reaching owner preoccupied griddle now fragrant sesame buns decipherable shao bing shao bin tiao daughter money steaming crunchy pile goodness even though owner still clearly sort racist taking really food faster ordering chinese ,stuff milk little version item ,1,1,1,1,1,1,1
2399,Negative,food however beer guess paying unless want seen overpriced beer food order lost running late said said lost order still us business soon us one happy go ,food however guess paying unless ,0,0,0,0,0,0,0
228,Positive,great stereotypical bar food contrary unique items split vegetarian items handful went pretty late evening helpings red flannel diced sweet poblanos onions sweet almost christmas combination none maple limas absolutely delicious chili irresistible cooked sweet slightly taste friend ordered kale good nice taste burgers tend well root handcut sweet potatoes white together great anxious return ,great bar unique split handful ,1,1,1,1,1,1,1
743,Negative,dining time food first craving sizzling wanted ordered papaya noodle sizzling sisig extremely place face papaya salad flavor citrus well done sizzling greasy crispy mussels broth much broth enough mussels ate good ,time food first craving wanted ,0,0,0,1,1,1,1
320,Positive,feel really say wait question worth yes appreciate handing orange slices fries debating opinion accompanying wait nice recommend passing actually makes hungrier gimmick assure sure ton noticeably ton articles written sat seat table mirror near front reading really cinnamon butter pancakes eggs bacon mind much served pancakes big delicious cinnamon butter eggs runny bacon although argue bacon give tasty got pass kept thinking take able walk service typical bad attentive ,feel yes appreciate orange slices ,0,1,1,1,1,0,0
