Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label
44,Positive,favorite restaurant place life tempted try lover flamenco finally day arrived around asking two little lovely make wait entire hour fact basically losing since gone else instead sitting waiting idea appreciate rush anyway ogling food little table empty finally first gambas ajillo tell number wanted go badly today craving surpassed expectations end eventually servings croquetas bacalao queso de cabra ham still thing fantastic also amazing tinto tasty mango sangrã died still exquisite top dessert also perfect tarta de santiago beautifully balanced absolute best pals tonight forward coming back much frequently ambiance music knew played please forget flamenco show wonderful everyone ,favorite restaurant life try lover ,1
395,Negative,really wanted one delicious sauces arroz ropa pollo con ajo pass life always try lackluster servings incredibly mean gag really special bit price date knocked back single glass mojito sixty one appetizer ny miami la meal restaurant feel robbed feeling pocket assure wallet still even voice opinion totally unfair restaurant simply grab plantains beans garlic lime peppers breast stewing cuban recipes quality bucks faith also tried sdc cost latino salsa yale mind getting exceptional ignorance ,wanted mean back glass mojito ,1
18,Positive,came menu everything tasted really stood bravas special sauce liiiifeee mee potatoes perfectly made pollo warm cheesy couldnt chicken also croquetas jamon paella seasoned salty flavor rice perfection empanadillas de loooved beef outer besides food pitchers house sangria afterwards flamenco band dancers felt trip spain great ambience friendly kept drinks food sure make reservations ,menu everything really bravas special ,0
1172,Negative,ambiance making never works well trained properly roast beef horseradish sandwich little meat female waitress add thought sandwich seemed challenged add worse sat back daughter caesar chicken bug romaine now say anything thank year old trooper continued ,making never works roast beef ,0
58,Positive,seem crazy giving fiver something never else hot used container food blown away make red goodness long kill stay away aside enjoy end also joey vento philadelphian inbred either college ,crazy hot make red goodness ,1
110,Negative,always see tv really wanted eat philly cheesesteak got compare far tourist liberty hall one apparently mentioned live reputation gave one hard bag rejected told go one fries line patience know order right preferred husband cheesesteak one bread old meat little real good though got sandwich texture although pretty skimpy husband got melted go street blocks liberty bell also cheaper go recommend ,see wanted eat philly cheesesteak ,1
32,Positive,fun saturday night packed managed bar service great fan tapas recently barcelona high expectations nai met really selection impressive passionate celebrate people special occasion flamenco steps ,fun night managed bar great ,1
80,Negative,food ordered popular cheese whiz beef tougher street rival tough cheese service order cheesesteak first drinks second know food time find location corner better much come tell definitely trap ,food ordered popular cheese whiz ,0
26,Positive,dinner food feel ripped tapas serve bite pieces plate dishes ordered definitely recommend chicken alioli braised quail cheese piquillo peppers stuffed cod steak good mussels wine sauce mussel kinda also sangria mango great pomegranate per price great thing loud lost definitely worth checking ,dinner feel tapas serve bite ,0
181,Negative,deal think paid dollars freaking made home ums place decorated painted bright orange also dont whole thing guys accent couldnt understand saying swear star godfather sapranos proper dont line isnt hat ring ,deal think dollars home place ,0
324,Positive,comes fast fresh went back best weekdays sundays line around corner waiting eat stretch block yummy bad toms business oh well ricotta pancakes name butters serve prices cant beat love toms ,comes fast fresh went best ,1
