Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3,Label4,Label5,Label6,Label7
215,Positive,florentina mozzarella gnocchi sauce gnocchi god somewhat literally dish got horrible one bite will care tcnj still crave entree went times really service much ditto price inner fattie ok ,gnocchi sauce god somewhat dish ,0,1,1,1,1,0,1
3591,Negative,must come husband huge try finally weeks sunday star ambiance despite service experience guess flavor sort spices fell apart broke fork turf jumbo ordered rare disappointed steak completely well done waiter put charred quick finger confirmed complain something back might disappeared back check us ended send back second round drinks never came ended house waiter ok definitely underwhelmed try one time good experience ,come husband finally weeks star ,0,0,0,0,0,0,0
280,Positive,reallllly stars simply brasa peruvian chicken eating la compared local hands best far moisture whole house worth unfortunately far praise chicken find tops times greet appropriately menu managed perfect chicken brasa solely four star review otherwise place two ,peruvian chicken la best far ,0,0,0,0,0,1,0
540,Negative,pricey cocktail served glass pricey liqueur drambuie served shot glass starr knows compromise product everyone still blindly lamb flatbread meatballs say gross menu dish roasted red pep bland side bland french served crock good onion flavor thai ok similar pad ctown race tuna fresh veg salad avgerage ,starr product everyone flatbread say ,0,1,1,1,1,1,1
57,Positive,red mango beef empanadas garlic sauace meat cheese order cod mussells spot lighting bright tapas tasty flamingo turns date upbeat energetic notable place service staff ever right always ,red mango beef garlic cheese ,1,1,1,0,0,1,1
112,Negative,challenge vs part cheese recommend provolone less creamy cheez whiz one cheez thinner meat less meat thicker flavor onions bread steamed little tough chewy steaming italian bread service friendly seemed care website offers prepared order fast keeps presented tightly easy non aesthetics colors inviting carnival appearance cleaner brighter says invented steak sandwich perfected find yelp pats king ,part provolone creamy whiz one ,1,0,0,0,0,1,0
276,Positive,hour dinner happy truffle fries good people making good wedge starters scallops entree awesome table got filet thought carrots mac garlic recommend glazed service great beautiful though high steak house places still visit ,dinner happy truffle good making ,1,1,0,1,1,1,1
278,Negative,ocean week super excited go went decor two friends week ordered ordered steak one ordered rare steak medium rare friend told waiter wanted cook little medium steak back still put boiler second really middle waiter super apologetic time whatever also looked young mid school going frisco steak sent second even want anymore interest eat frustrating opening problems know cooking insulting customer steak sent second ocean comment really prime disappointed waiter friends comfortable still able enjoy ever go back ocean prime drinks funny thing really private second thought room overlooking whole restaurant perfect dinner party experience knocked places ,ocean week super excited go ,1,1,1,1,1,1,1
166,Positive,wun wun minute philly cheesesteak honest although may pretty think story opening perhaps straight across exact entertaining guess business think static px yelp bphotâ goopy watery somewhat bread rock bouncy meat clumps litle pieces makes feel meat seems guys done ,wun may story perhaps straight ,0,1,0,1,1,1,1
82,Negative,long time since philly cheesesteak threw contest tough sign near window america speak english really turned friend please cash order something odd front snap snap snap annoyed plus ,long time since philly cheesesteak ,0,1,1,1,1,0,1
240,Positive,regular hangout since ago lived garden time walk hangout personally crowds go feel relaxed hangout without shout heard usually occasional really feels really random shows bar attracts really diverse crowd sitting work hockey game filled shouting drunkenly filled cw filled seems overflow city always including owner buy round house room food selection pretty caesar salad best thing eaten though kitchen early live band every rest time radio jukebox feeding sporting event flat problem size teeny celtic bar hole always clean crisp ,regular ago garden feel without ,0,1,0,1,1,0,1
137,Negative,disappointment even landed blink windows pre cooked sitting disappointment second even chop slices third sandwich even fourth disappointment awful disappointment throughout ride eat cold much rather eat steak sandwich come pretty will never back ,disappointment even pre sitting second ,1,1,0,1,1,1,1
39,Positive,last minute people surprised see nai still notice went made booking food absolutely reservation never gave recommendations encouraged yes even end liking issue delicious wrong croquettes flavorful skirt patatas bravas bit mealy potato opt wow ed particular fantastic experience ambiance friendly certainly recommend anyone larger dinners ,surprised still absolutely reservation recommendations ,1,1,1,1,0,1,0
126,Negative,place cheesesteak many places around philadelphia delicious sandwiches best philly people tastes things tourists outdoor one thing remains go least life glad bucket list rather later ,place cheesesteak many places philadelphia ,1,0,0,0,0,0,0
8,Positive,stuffed even excellentl basic loaded black beans white cabbage little cheese warm burrito sour pico squirting item much sauce thing fell sure asked side stuff next time put extra may able thing ,stuffed basic loaded little cheese ,0,0,0,0,0,1,0
365,Negative,restaurants sometimes lousy percenty time every sunday likes food good nature think two stuffed burger last week came roll second week row roll sent came want back picky paying okay let go atmosphere year ago fantastic lamb put right middle done raw come ,restaurants sometimes time food think ,0,0,0,0,0,1,0
31,Positive,awesome food great service centrally located perfect groups came last one made restaurant suggested fixed person ask great place pretty tapas overly romantic fancy food low key village feel local food ah mazing eating dishes us menu served al shrimp garlic sauce favorite dish bacalao fried sauce tasty croquetas chicken croquetas de serrano good traditional probably least fave mild patatas potatoes coated spicy sauce tasty alioli potatoes garlic alioli bomb charrasco awesome dish meat albondiguillas sauce chorizo la plancha spanish tasty wow ate fave definitely shrimp croquettas least fave tortilla espanola though potato felt sangria pitchers coming dessert though honestly birthday group gluten brought helpful cut us stay live way sing karaoke planet towards last hour dinner live flamenco will definitely excellent wait try menu never heard gem glad introduced ,awesome great located perfect groups ,1,1,1,1,1,1,1
128,Negative,came thursday visiting town hype seen tv geno network somewhere disappointed geno extremely flashy lighted visual cheesesteak bread steak small far disappointing philly horrible fact across take photos geno try instead see excitement across street instead ,came hype seen tv network ,0,1,1,1,1,1,1
256,Positive,pork chops point avoid pork chops restaurants nine bland piece prior hitting plate dela banging chops yellow tore charred perfectly cooked hit bumps pig place small full another couple walked right behind well customers waiting place patron sipping coffee surfing web behind counter sticks laptop table company paying take situation frown web surfing got friend rotisserie chicken plantains none go think subtract right food came stuff remaining staff meal will fa sure place ,pork chops yellow charred perfectly ,1,1,1,1,1,1,1
135,Negative,gave edge previous review really say whiz really seemed bit side will agree less soggy substance much rather steak already elaborated steak seem much flavor eating made mind going ,gave previous review really say ,1,1,1,1,1,0,0
21,Positive,bar reservation heads came regal union far thinking dinner welcome minutes ready party mind waiting wait except doorway waiters constantly say excuse time needed us small ordered potato plain omelette potato supposed taste gosh mixed eggs tasted arriero skirt steak ordered tapas pieces say racion size one drooling albondiguillas estofadas meatballs delicious never solomillo la pork tenderloin sauce really makes tabla de love charcuterie skip pieces ham machego really depressing one sticky rice paella know ridiculous saying meat huge potato sangria pitcher place priorities nice oh free bread oil yes party kept asking waiters gave smile definitely coming since decent place total bill person arriero skirt steak estofadas ,bar reservation far dinner welcome ,1,1,1,1,1,0,0
110,Negative,reading review comparison review steaks steaks philly realistic regarding cheesesteaks yes genos better elsewhere philadelphia trying different places cheesesteak really hype said amongst rank stars best place sit dining area area conditioned best bread bread chewy hard prov wit cheese onions mushrooms better ishkabibbles stars sit exception barstools drink onions better service due lights bread meat flavorless slices wit cheese onions provolone way place seating best place stars least favorite places bread chopped sooooo greasy upset stomach prov provolone onions also seating philly maybe vendor time skip pats one cheesesteak made better genos catch word advice smile appreciate customers ,reading review steaks philly cheesesteaks ,0,1,1,1,1,1,1
171,Positive,onions cool kids dont say provolone without cheesesteak great served slightly hoagie role onions cheese delight well worth one size wait goes fast precious tables people across street lean bathroom food frenzy ,without great served slightly cheese ,1,1,1,1,1,1,1
139,Negative,meh good see review think really preference judging behemoths cheesesteaks joint vegas slightly classier atlantic city strip seemed clean sanitary less disease food soft toasty onions massive finely fan onion massive sliced chopped seemed cheesesteak filling result neighborhood around quite borderline street kind alone saturday ,meh see review think really ,1,1,1,1,1,1,1
12,Positive,etc formosa chinese granted close will find differences wife food home country made glastonbury place legit let mandarin everything kind recommended jesse noodle soup fish tofu casserole spicy sautã ed bean delicious recommended guaranteed authentic going ,etc granted close find home ,0,1,1,1,1,1,1
104,Negative,corner pretty everything awful steaks absurd south place qualities want supremacist bigot overrated grisly cheesesteaks known means go human dignity want eat something taste goods try south philly corner store find better undoubtedly burning vegas hell hear family ridiculous fascist reaction adorn ,pretty awful steaks absurd place ,1,0,0,0,0,0,0
18,Positive,franchise states possibly believe say food good mean many many times first restaurant sub pepper salt olive oil explosive freshness compared also franchise really friends tasted makes mouth watery great foods soups subs also staff ,believe good restaurant pepper olive ,1,1,1,1,1,1,1
113,Negative,comes cheese compete others granted yes wide thousands dollars gaudy neon lights seen space happen directly across another know cheese hear feel mentioned first want meat onions cheese places city put higher product key ,comes others neon lights seen ,0,0,0,0,0,0,0
130,Positive,website impressed marketing thought attractive bright color patches polices country simpler limited got geno loved order english ordering ignorant cheesesteak better job keeping clean slices steak use slices example american cheesesteak liked nice bits pieces cheese dislikes onions softer service bright cheerful place eat invested ,color country limited loved keeping ,1,1,1,1,1,1,1
155,Negative,know overrated craving decided grab prefer light polluting wit please cheesesteak came special bread dull side meat places street fries well liked bit old attempt still ,know overrated craving decided prefer ,1,1,1,1,0,0,0
122,Positive,surprised negative lot touristy places cheesesteak local still favorite cheesesteak know order yes signs reviews heavily food quality always wiz cheese cheesesteaks quickly lots meat cheese roll feel huge cheesesteak prepared food coma afterwards also experience go usually cram kids greasy food usually fun also boyfriend done properly guess see rivals delicious cheesesteaks ,surprised still favorite yes always ,1,0,0,0,1,1,1
161,Negative,since one friends wanted sandwich reluctantly take come long sandwich minutes unlike previous minutes usual expect bad plus onions onions seriously even onions complaint competitor across also ever ,since one wanted sandwich take ,0,0,0,1,1,1,1
