screen_name,t_counts,status_id,user_id,created_at,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
BloombergQuint,101,1240628639172923394,714731566828793857,2020-03-19T13:18:12Z,"#CoronavirusPandemic update | Prime Minister Modi to address the nation at 8 pm.

Don't forget to tune in. https://t.co/vjIXPMMNVf",TweetDeck,,,,False,False,90,3,,,,121719,193,,2016-03-29T08:30:59Z,True,en
openletterbot,337,1240428432304922624,938533034659168256,2020-03-19T00:02:38Z,"🖋 Support @missyvonne1963 by signing “COVID-19” and I’ll deliver a copy to your officials too: https://t.co/DRspGB9HPO

📨 Last delivered to @realDonaldTrump #NC01 #NCpolitics #COVID19 https://t.co/Zo9puHx3Va",Resistbot Open Letters,,,,False,False,2,0,,,,16785,3,,2017-12-06T22:18:07Z,True,en
htTweets,130,1240459605198553090,36327407,2020-03-19T02:06:31Z,"#Coronavirus #Covid19India | Bengal patient defies advice; Home Secretary in isolation, Mamata furious

https://t.co/t5CMgTnODo https://t.co/BBJVrlupQ8",TweetDeck,,,,False,False,2971,12,,,,7154080,126,,2009-04-29T10:11:34Z,True,en
timesofindia,187,1240508278217388032,134758540,2020-03-19T05:19:55Z,"B Sriramulu, Karnataka Health Minister: One person, with travel history to Saudi Arabia, has been tested +ve for #COVID19 in Kodagu today. Total number of positive cases reaches 15 in the state.

#CautionYesPanicNo

#Covid2019India
#CoronavirusUpdates 👇

https://t.co/Wn5tgSPtwd",Twitter Web App,,,,False,False,5,8,,,,12395664,530,,2010-04-19T10:50:15Z,True,en
ANCALERTS,238,1240483131297353728,44728980,2020-03-19T03:40:00Z,South Korea reports rebound in new coronavirus cases after nursing home outbreak https://t.co/G8M2CrGKgA #COVID19,TweetDeck,,,,False,False,5453,5,,,,4853038,777,,2009-06-04T21:26:24Z,True,en
htTweets,130,1240529688302211072,36327407,2020-03-19T06:45:00Z,"#Covid2019India | IndiGo, Vistara may ground jets as #coronavirus cases jump in India: Report

https://t.co/LREi37omex https://t.co/6KMDAGpQCL",TweetDeck,,,,False,False,2971,11,,,,7154048,126,,2009-04-29T10:11:34Z,True,en
dailystar,179,1240566933549965315,20442930,2020-03-19T09:13:00Z,"#Coronavirus sees #Friends reunion filming scrapped due to global pandemic
https://t.co/vN8eIdQsds",TweetDeck,,,,False,False,838,3,,,,195767,3592,,2009-02-09T15:45:17Z,True,en
IndiaToday,132,1240654298591031299,19897138,2020-03-19T15:00:09Z,"PM Modi advises people to work from home
PM Modi address on #coronavirus LIVE Updates: https://t.co/GL73uVSSWV
#Coronavirus #Covid19 #CoronavirusOutbreak https://t.co/aOlCoANglR",Twitter Web App,,,,False,False,4400,7,,,,5278703,229,,2009-02-02T07:21:54Z,True,en
Oneindia,119,1240507521523159040,18159588,2020-03-19T05:16:55Z,"#CoronaVirusUpdates | To take stock of preparedness in view of #COVID19, Health Minister @drharshvardhan visited Delhi's Indira Gandhi International Airport (T-3) on the intervening night of 18th &amp; 19th March.

#COVID2019india 

Tap for LIVE Updates: https://t.co/gBbD4aUEWm",Twitter Web App,,,,False,False,350,0,,,,60594,661,,2008-12-16T09:44:12Z,True,en
ANCALERTS,238,1240521127090249731,44728980,2020-03-19T06:10:59Z,"Pasig City Mayor Vico Sotto: Whatever the national directives are, we will comply. What's important is we have a unified policy throughout NCR. #COVID19 #LuzonLockdown",TweetDeck,,,,False,False,5453,172,,,,4853018,777,,2009-06-04T21:26:24Z,True,en
Oneindia,119,1240652168836730887,18159588,2020-03-19T14:51:41Z,"Prime Minister @narendramodi: If possible, please call at least 10 people every day and tell them about the 'Janta Curfew' as well as the measures to prevent #coronavirus.

#BeatCOVID19 #CoronavirusPandemic #COVID19

Catch all live updates here: https://t.co/Mm1AMqwj9b",Twitter Web App,,,,False,False,350,1,,,,60599,662,,2008-12-16T09:44:12Z,True,en
ians_india,114,1240547733389246465,141584822,2020-03-19T07:56:42Z,"#Maharashtra Chief Minister Uddhav Thackeray (@uddhavthackeray) on Thursday sought peoples' cooperation for the ongoing 'war against virus' that has created global medical havoc since the past couple of months. 

#coronavirusindia #CoronavirusOutbreak https://t.co/Mmx7Hj6clv",Twitter Web App,,,,False,False,14,0,,,,32597,45,,2010-05-08T13:21:45Z,True,en
IndiaToday,132,1240597644642340864,19897138,2020-03-19T11:15:02Z,"The administration is taking all precautionary measures in the biggest vegetable market in #Chennai. @Akshayanath brings us this report.
 #CoronaVirusOutbreak #ITVideo https://t.co/adoT5y9Xev",Twitter Media Studio,,,,False,False,4400,2,,,,5278672,229,,2009-02-02T07:21:54Z,True,en
ndtv,116,1240525884005576704,37034483,2020-03-19T06:29:53Z,"Watch | ""We don't panic"": Kerala doctors in frontline of war against #coronavirus. 

Read more here: https://t.co/Pgvngl0svb https://t.co/u2cjbErtRN",Twitter Media Studio,,,,False,False,0,12,,,,12245445,14,,2009-05-01T20:34:48Z,True,en
Oneindia,119,1240575481528762368,18159588,2020-03-19T09:46:58Z,"If @IPL 2020 is cancelled then stars like @imVkohli @msdhoni @ImRo45 etc will have to take a lighter purse. Details. #CoronavirusOutbreak
#COVID2019india #IPL2020 #IPL via @mykhelcom
https://t.co/euwkwUaX5q",TweetDeck,,,,False,False,350,1,,,,60605,662,,2008-12-16T09:44:12Z,True,en
htTweets,130,1240576973744877574,36327407,2020-03-19T09:52:54Z,"#NewsAlert | 78 people, who arrived in Srinagar from Leh in Ladakh Union Territory, quarantined for suspected #coronavirus infection: Officials (PTI)

#CoronavirusOutbreakindia",TweetDeck,,,,False,False,2971,12,,,,7154068,126,,2009-04-29T10:11:34Z,True,en
ANCALERTS,238,1240444385965174784,44728980,2020-03-19T01:06:02Z,"The @TOWNSfoundation has  deployed over 1,000 N95 masks 600 surgical masks 500 gallons of alcohol to 13 hospitals including Amang Rodriguez Memorial Hosp, PCMC, Jose Reyes. | via @cesdrilon #COVID19 https://t.co/07B7qiOuWd",TweetDeck,,,,False,False,5453,7,,,,4853062,777,,2009-06-04T21:26:24Z,True,en
BloombergQuint,101,1240705421406437377,714731566828793857,2020-03-19T18:23:18Z,"BMC to soon start #coronavirus testing laboratories at select private hospitals and diagnostic centres in Mumbai. @ashupriolker reports.
https://t.co/ynAYNwCEx4",TweetDeck,,,,False,False,90,8,,,,121997,193,,2016-03-29T08:30:59Z,True,en
openletterbot,337,1240549652136517632,938533034659168256,2020-03-19T08:04:20Z,"📬 I delivered this ✉️ from Elizabeth, a 🗳 verified voter in Gainesville, Fla., to @rondesantisfl, Representative Clemons, Sr. and Senator Perry  #sayfie #flapol #COVID19

📝 Write your own: https://t.co/z5540KFSKD https://t.co/mmkyGoU47v",Resistbot Open Letters,,,,False,False,2,0,,,,16785,3,,2017-12-06T22:18:07Z,True,en
ABSCBNNews,137,1240529688105107457,15872418,2020-03-19T06:45:00Z,South Korea reports rebound in new coronavirus cases after nursing home outbreak https://t.co/vUlY8XOuLE #COVID19,TweetDeck,,,,False,False,1071,11,,,,6729304,1075,,2008-08-16T10:09:33Z,True,en
